TICKER,FIGI,DATE,TYPE,FREQUENCY,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR,EX_DIVIDEND,SPLIT_RATIO
GOOGL,BBG000C3C6S2,16-04-2018,EOD,daily,196.8,198.97,169.42,181.49,39446833,18.86616218,18.86616218,18.82760078,18.8420613,18433,,0,1
GOOGL,BBG000C3C6S2,13-04-2018,EOD,daily,184.46,184.91,180.83,182.58,12065342,18.87580252,18.87580252,18.7672522,18.80832008,52418,,0,1
GOOGL,BBG000C3C6S2,12-04-2018,EOD,daily,182.32,190.74,181.28,188.41,18340198,18.77939904,18.8420613,18.77457886,18.80832008,28424,,0,1
GOOGL,BBG000C3C6S2,11-04-2018,EOD,daily,192.34,193.81,188.07,189.28,11965401,18.84688148,18.84688148,18.72155695,18.77939904,19251,,0,1
GOOGL,BBG000C3C6S2,10-04-2018,EOD,daily,190.65,191.89,183.75,184.23,8944987,18.83724113,19.0493288,18.80832008,18.80832008,26255,,0,1
GOOGL,BBG000C3C6S2,09-04-2018,EOD,daily,182.69,184.41,179.25,182.41,10458838,18.70227625,18.77939904,18.62515346,18.68299555,11774,,0,1
GOOGL,BBG000C3C6S2,06-04-2018,EOD,daily,177.14,180.2,175.45,177.12,11789648,18.56731137,18.65715942,18.47929499,18.54803067,21496,,0,1
GOOGL,BBG000C3C6S2,05-04-2018,EOD,daily,177.87,179.44,170.92,171.67,13930023,18.56731137,18.56731137,18.51428945,18.56085234,20205,,0,1
GOOGL,BBG000C3C6S2,04-04-2018,EOD,daily,171.92,172.42,165.94,168.92,19335603,18.26846056,18.43234649,18.23953952,18.43234649,20610,,0,1
GOOGL,BBG000C3C6S2,03-04-2018,EOD,daily,170.64,173.22,167.89,168.7,13647636,18.59623241,18.59623241,18.42270614,18.43244289,30724,,0,1
GOOGL,BBG000C3C6S2,02-04-2018,EOD,daily,168.74,176.36,166.48,175.76,18462895,18.84688148,18.84688148,18.2887053,18.41306579,24038,,0,1
GOOGL,BBG000C3C6S2,29-03-2018,EOD,daily,175.56,176.33,170.44,172.42,12772794,18.50946928,18.88544287,18.50946928,18.82837201,38257,,0,1
GOOGL,BBG000C3C6S2,28-03-2018,EOD,daily,174.48,174.55,169.12,169.55,10021478,18.56731137,18.58418198,18.49655121,18.49982893,26939,,0,1
GOOGL,BBG000C3C6S2,27-03-2018,EOD,daily,169.57,171.06,167.63,170.06,8558663,18.85652183,18.861342,18.54803067,18.54803067,17100,,0,1
GOOGL,BBG000C3C6S2,26-03-2018,EOD,daily,171.34,175.22,170.94,174.27,10415814,18.99148671,18.99148671,18.60587276,18.82760078,11409,,0,1
GOOGL,BBG000C3C6S2,23-03-2018,EOD,daily,175.18,176.01,169.71,170.13,9858099,18.70227625,18.7119166,18.59623241,18.61551311,26469,,0,1
GOOGL,BBG000C3C6S2,22-03-2018,EOD,daily,170.04,172.22,168.92,170.28,7600389,18.90472357,18.90472357,18.76011834,18.76011834,17034,,0,1
GOOGL,BBG000C3C6S2,21-03-2018,EOD,daily,171.35,173.05,170.27,171.12,7784834,19.0686095,19.13975527,19.05896915,19.13975527,4543,,0,1
